trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
1-UP,1-UP,everyday,Mandalay,Yangon to Mandalay,0,,,0
2-DN,2-DN,everyday,Yangon,Mandalay to Yangon,0,,,0
3-UP,3-UP,everyday,Mandalay,Yangon to Mandalay,0,,,0
4-DN,4-DN,everyday,Yangon,Mandalay to Yangon,0,,,0
5-UP,5-UP,everyday,Mandalay,Yangon to Mandalay,0,,,0
6-DN,6-DN,everyday,Yangon,Mandalay to Yangon,0,,,0
7-UP,7-UP,everyday,Pyinmana,Yangon to Pyinmana,0,,,0
8-DN,8-DN,everyday,Yangon,Pyinmana to Yangon,0,,,0
9-UP,9-UP,everyday,Pyinmana,Yangon to Pyinmana,0,,,0
10-DN,10-DN,everyday,Yangon,Pyinmana to Yangon,0,,,0
11-UP,11-UP,everyday,Mandalay,Yangon to Mandalay,0,,,0
12-DN,12-DN,everyday,Yangon,Mandalay to Yangon,0,,,0
13-UP,13-UP,everyday,Bago,Yangon to Bago,0,,,0
14-DN,14-DN,everyday,Yangon,Bago to Yangon,0,,,0
16-15,16-15,everyday,Mawlamyaing,Pyinmana to Mawlamyaing,0,,,0
18-17,18-17,everyday,Pyinmana,Mawlamyaing to Pyinmana,0,,,0
23-UP,23-UP,everyday,Myohaung,Thazi to Myohaung,0,,,0
24-DN,24-DN,everyday,Thazi,Myohaung to Thazi,0,,,0
25-UP,25-UP,everyday,Mandalay,Pyinmana to Mandalay,0,,,0
26-DN,26-DN,everyday,Pyinmana,Mandalay to Pyinmana,0,,,0
27-UP,27-UP,everyday,Myinchan,Pyinmana to Myinchan,0,,,0
28-DN,28-DN,everyday,Pyinmana,Myinchan to Pyinmana,0,,,0
29-UP,29-UP,everyday,Mandalay,Yangon to Mandalay,0,,,0
30-DN,30-DN,everyday,Yangon,Mandalay to Yangon,0,,,0
31-UP,31-UP,everyday,Pyinmana,Yangon to Pyinmana,0,,,0
32-DN,32-DN,everyday,Yangon,Pyinmana to Yangon,0,,,0
35-UP,35-UP,everyday,Mawlamyaing,Yangon to Mawlamyaing,0,,,0
36-DN,36-DN,everyday,Yangon,Mawlamyaing to Yangon,0,,,0
37-UP,37-UP,everyday,Myitkyina,Mandalay to Myitkyina,0,,,0
38-DN,38-DN,everyday,Mandalay,Myitkyina to Mandalay,0,,,0
39-UP,39-UP,everyday,Moe-nyin,Shwebo to Moe-nyin,0,,,0
40-DN,40-DN,everyday,Shwebo,Moe-nyin to Shwebo,0,,,0
41-UP,41-UP,everyday,Myitkyina,Mandalay to Myitkyina,0,,,0
42-DN,42-DN,everyday,Mandalay,Myitkyina to Mandalay,0,,,0
43-UP,43-UP,everyday,Myitkyina,Mandalay to Myitkyina,0,,,0
44-DN,44-DN,everyday,Mandalay,Myitkyina to Mandalay,0,,,0
45-UP,45-UP,everyday,Kawlin,Ywataung to Kawlin,0,,,0
46-DN,46-DN,everyday,Ywataung,Kawlin to Ywataung,0,,,0
47-UP,47-UP,everyday,Naba,Mandalay to Naba,0,,,0
48-DN,48-DN,everyday,Mandalay,Naba to Mandalay,0,,,0
49-UP,49-UP,everyday,Myitkyina,Naba to Myitkyina,0,,,0
50-DN,50-DN,everyday,Naba,Myitkyina to Naba,0,,,0
51-UP,51-UP,everyday,Kathar,Naba to Kathar,0,,,0
